timestamp,Clockspeed (GPU),GPU Usage,Temp (GPU),Temp (GPU Hotspot),Fan RPM,Fan,Power Draw,Power Cap,Clockspeed (VRAM),VRAM Size,VRAM Used,GPU Voltage,Clockspeed (SM),Clockspeed (Video)
1778922286721,2542,1,30,30,1100,29.80392156862745,20.077,145,13826,8151,804,930,2542,2115
1778922287226,2542,1,30,30,1100,29.80392156862745,20.095,145,13826,8151,804,930,2542,2115
1778922287730,2542,1,30,30,1101,29.80392156862745,20.109,145,13826,8151,804,930,2542,2115
1778922288234,2542,1,30,30,1100,29.80392156862745,20.102,145,13826,8151,804,930,2542,2115
1778922288738,2542,1,30,30,1100,29.80392156862745,20.114,145,13826,8151,804,930,2542,2115
1778922289242,2542,1,30,30,1099,29.80392156862745,20.138,145,13826,8151,804,930,2542,2115
1778922289746,2542,1,30,30,1099,29.80392156862745,20.107,145,13826,8151,804,930,2542,2115
1778922290250,2542,1,30,30,1100,29.80392156862745,20.09,145,13826,8151,804,930,2542,2115
1778922290753,2542,1,30,30,1101,29.80392156862745,20.102,145,13826,8151,804,930,2542,2115
1778922291258,2542,1,30,30,1100,29.80392156862745,20.113,145,13826,8151,804,930,2542,2115
1778922291763,2542,1,30,30,1100,29.80392156862745,20.107,145,13826,8151,804,930,2542,2115
1778922292268,2542,1,30,30,1100,29.80392156862745,20.094,145,13826,8151,804,930,2542,2115
1778922292773,2542,1,30,30,1099,29.80392156862745,20.072,145,13826,8151,804,930,2542,2115
1778922293277,2542,1,30,30,1099,29.80392156862745,20.105,145,13826,8151,804,930,2542,2115
1778922293780,2542,1,30,30,1099,29.80392156862745,20.116,145,13826,8151,804,930,2542,2115
1778922294284,2542,1,30,30,1099,29.80392156862745,20.109,145,13826,8151,804,930,2542,2115
1778922294789,2542,1,30,30,1099,29.80392156862745,20.136,145,13826,8151,804,930,2542,2115
1778922295294,2542,1,30,30,1100,29.80392156862745,20.123,145,13826,8151,804,930,2542,2115
1778922295799,2542,1,30,30,1101,29.80392156862745,20.113,145,13826,8151,804,930,2542,2115
1778922296302,2542,1,30,30,1100,29.80392156862745,20.107,145,13826,8151,804,930,2542,2115
1778922296806,2542,1,30,30,1100,29.80392156862745,20.1,145,13826,8151,804,930,2542,2115
1778922297311,2542,1,30,30,1101,29.80392156862745,20.064,145,13826,8151,804,930,2542,2115
1778922297816,2542,1,30,30,1101,29.80392156862745,20.087,145,13826,8151,804,930,2542,2115
1778922298321,2542,1,30,30,1100,29.80392156862745,20.1,145,13826,8151,804,930,2542,2115
1778922298824,2542,1,30,30,1099,29.80392156862745,20.113,145,13826,8151,804,930,2542,2115
1778922299329,2542,1,30,30,1098,29.80392156862745,20.115,145,13826,8151,804,930,2542,2115
1778922299834,2542,1,30,30,1100,29.80392156862745,20.11,145,13826,8151,804,930,2542,2115
1778922300338,2542,1,30,30,1100,29.80392156862745,20.084,145,13826,8151,804,930,2542,2115
1778922300842,2542,1,30,30,1100,29.80392156862745,20.112,145,13826,8151,804,930,2542,2115
1778922301346,2550,1,30,30,1100,29.80392156862745,20.24,145,13826,8151,804,935,2550,2115
1778922301849,2542,1,30,30,1099,29.80392156862745,20.203,145,13826,8151,814,930,2542,2115
1778922302353,2550,1,30,30,1100,29.80392156862745,20.196,145,13826,8151,814,935,2550,2115
1778922302857,2550,1,30,30,1099,29.80392156862745,20.329,145,13826,8151,814,930,2550,2115
1778922303361,2542,1,30,30,1099,29.80392156862745,20.204,145,13826,8151,804,930,2542,2115
1778922303865,2542,1,30,30,1100,29.80392156862745,20.062,145,13826,8151,804,930,2542,2115
1778922304370,2550,1,30,30,1100,29.80392156862745,20.156,145,13826,8151,804,935,2550,2115
1778922304875,2550,1,30,30,1100,29.80392156862745,20.244,145,13826,8151,804,930,2550,2115
1778922305380,2542,1,30,30,1099,29.80392156862745,20.193,145,13826,8151,804,930,2542,2115
1778922305885,2542,1,30,30,1099,29.80392156862745,20.099,145,13826,8151,804,930,2542,2115
1778922306388,2542,1,30,30,1099,29.80392156862745,20.058,145,13826,8151,804,930,2542,2115
1778922306892,2542,1,30,30,1100,29.80392156862745,20.121,145,13826,8151,804,935,2542,2115
1778922307396,2542,1,30,30,1099,29.80392156862745,20.102,145,13826,8151,804,930,2542,2115
1778922307900,2542,1,30,30,1100,29.80392156862745,20.05,145,13826,8151,804,930,2542,2115
1778922308405,2542,1,30,30,1099,29.80392156862745,20.04,145,13826,8151,804,930,2542,2115
1778922308910,2557,1,30,30,1100,29.80392156862745,20.096,145,13826,8151,804,930,2557,2115
1778922309414,2542,1,30,30,1100,29.80392156862745,20.335,145,13826,8151,804,935,2542,2115
1778922309918,2542,1,30,30,1100,29.80392156862745,20.398,145,13826,8151,804,935,2542,2115
1778922310422,2542,1,30,30,1100,29.80392156862745,20.191,145,13826,8151,804,935,2542,2115
1778922310925,2542,1,30,30,1101,29.80392156862745,20.073,145,13826,8151,804,930,2542,2115
1778922311430,2542,1,30,30,1100,29.80392156862745,20.221,145,13826,8151,804,930,2542,2115
1778922311933,2542,1,30,30,1101,29.80392156862745,20.313,145,13826,8151,804,935,2542,2115
1778922312438,2542,1,30,30,1100,29.80392156862745,20.189,145,13826,8151,804,935,2542,2115
1778922312941,2550,1,30,30,1100,29.80392156862745,20.137,145,13826,8151,804,930,2550,2115
1778922313445,2542,1,30,30,1099,29.80392156862745,20.15,145,13826,8151,804,935,2542,2115
1778922313950,2557,2,31,30,1100,29.80392156862745,20.248,145,13826,8151,805,930,2557,2115
1778922314453,2542,1,30,30,1100,29.80392156862745,20.356,145,13826,8151,805,935,2542,2115
1778922314957,2542,1,30,30,1099,29.80392156862745,20.444,145,13826,8151,805,935,2542,2115
1778922315462,2542,1,30,30,1100,29.80392156862745,20.377,145,13826,8151,805,935,2542,2115
1778922315967,2542,1,30,30,1101,29.80392156862745,20.209,145,13826,8151,805,930,2542,2115
1778922316472,2550,3,30,30,1099,29.80392156862745,20.182,145,13826,8151,805,935,2550,2115
1778922316977,2542,1,30,30,1099,29.80392156862745,20.358,145,13826,8151,805,935,2542,2115
1778922317482,2542,1,30,30,1099,29.80392156862745,20.397,145,13826,8151,805,930,2542,2115
1778922317987,2542,1,30,30,1099,29.80392156862745,20.179,145,13826,8151,805,930,2542,2115
1778922318490,2542,1,30,30,1100,29.80392156862745,20.071,145,13826,8151,805,930,2542,2115
1778922318995,2542,1,30,30,1099,29.80392156862745,20.133,145,13826,8151,805,930,2542,2115
1778922319500,2542,1,30,30,1099,29.80392156862745,20.124,145,13826,8151,805,930,2542,2115
1778922320005,2542,1,30,30,1100,29.80392156862745,20.07,145,13826,8151,805,930,2542,2115
1778922320508,2542,1,30,30,1100,29.80392156862745,20.064,145,13826,8151,805,930,2542,2115
1778922321013,2542,1,30,30,1100,29.80392156862745,20.09,145,13826,8151,805,930,2542,2115
1778922321516,2542,1,30,30,1100,29.80392156862745,20.086,145,13826,8151,805,930,2542,2115
1778922322021,2542,1,30,30,1100,29.80392156862745,20.086,145,13826,8151,805,930,2542,2115
1778922322526,2542,1,30,30,1100,29.80392156862745,20.087,145,13826,8151,805,930,2542,2115
1778922323030,2542,1,30,30,1101,29.80392156862745,20.076,145,13826,8151,805,930,2542,2115
1778922323533,2542,1,30,30,1101,29.80392156862745,20.112,145,13826,8151,805,930,2542,2115
1778922324038,2542,1,30,30,1098,29.80392156862745,20.181,145,13826,8151,805,930,2542,2115
1778922324541,2542,1,30,30,1098,29.80392156862745,20.175,145,13826,8151,805,930,2542,2115
1778922325046,2542,1,30,30,1098,29.80392156862745,20.115,145,13826,8151,805,930,2542,2115
1778922325551,2542,1,30,30,1099,29.80392156862745,20.119,145,13826,8151,805,930,2542,2115
1778922326056,2542,1,30,30,1100,29.80392156862745,20.118,145,13826,8151,805,930,2542,2115
1778922326561,2542,1,30,30,1100,29.80392156862745,20.126,145,13826,8151,805,930,2542,2115
1778922327064,2542,1,30,30,1100,29.80392156862745,20.116,145,13826,8151,805,930,2542,2115
1778922327568,2542,1,30,30,1100,29.80392156862745,20.109,145,13826,8151,805,930,2542,2115
1778922328073,2542,1,30,30,1100,29.80392156862745,20.097,145,13826,8151,805,930,2542,2115
1778922328578,2542,1,30,30,1100,29.80392156862745,20.064,145,13826,8151,805,930,2542,2115
1778922329082,2542,1,30,30,1100,29.80392156862745,20.077,145,13826,8151,805,930,2542,2115
1778922329586,2542,1,30,30,1100,29.80392156862745,20.072,145,13826,8151,805,930,2542,2115
1778922330091,2542,1,30,30,1100,29.80392156862745,20.093,145,13826,8151,805,930,2542,2115
1778922330596,2542,1,30,30,1101,29.80392156862745,20.11,145,13826,8151,805,930,2542,2115
1778922331101,2542,1,30,30,1101,29.80392156862745,20.11,145,13826,8151,805,930,2542,2115
1778922331605,2542,1,30,30,1100,29.80392156862745,20.104,145,13826,8151,805,930,2542,2115
1778922332109,2542,1,30,30,1098,29.80392156862745,20.094,145,13826,8151,805,930,2542,2115
1778922332614,2542,1,30,30,1099,29.80392156862745,20.09,145,13826,8151,805,930,2542,2115
